bidding_zone,PEI
AT,0.03
BE,-0.029
BG,0.244
HR,-0.301
CZ,0.251
DK1,0.023
DK2,-0.345
EE,0.164
FI,-0.199
FR,0.149
DE-LU,0.129
GR,-0.068
HU,-0.251
IE,0.044
IT-CN,-0.384
IT-CS,-0.308
IT-N,-0.224
IT-Sar,0.293
IT-Sic,-0.149
IT-S,0.393
LV,-0.022
LT,-0.679
NL,-0.004
NO1,-0.516
NO2,0.249
NO3,-0.212
NO4,0.254
NO5,0.459
PL,0.053
RO,0.103
SE1,0.549
SE2,0.626
SE3,0.042
SE4,-0.659
RS,0.094
SK,-0.011
SI,0.101
CH,-0.026
