bidding_zone,Country,Tech,Cap_MW_2021,CapacityFactor,ACM_MW_2021
FR,FR,Hydro Run-of-river and poundage,9554.0,0.4206658413726556,4019.0
FR,FR,Hydro Water Reservoir,6655.0,0.1902015800553857,1266.0
FR,FR,Marine,246.0,0.2,49.0
FR,FR,Nuclear,61370.0,0.6835128823830221,41947.0
FR,FR,Oil,2746.0,0.0570998563549331,157.0
FR,FR,Other,1120.0,0.0,0.0
FR,FR,Solar,13073.0,0.136764,1788.0
FR,FR,Wind Offshore,14.0,0.0,0.0
FR,FR,Wind Onshore,18537.0,0.233114,4321.0
GR,GR,Biomass,95.0,0.0,0.0
GR,GR,Fossil Brown coal/Lignite,2561.0,0.3116309085263934,798.0
GR,GR,Gas,4902.0,0.402977188511259,1975.0
GR,GR,Hydro Run-of-river and poundage,312.0,0.0,0.0
GR,GR,Hydro Water Reservoir,2403.0,0.1390010964224703,334.0
GR,GR,Other,1440.0,0.41,590.0
GR,GR,Other renewable,106.0,0.0,0.0
GR,GR,Solar,4073.0,0.165151,673.0
GR,GR,Wind Onshore,4649.0,0.24863,1156.0
HR,HR,Biomass,108.0,0.6774213775805518,73.0
HR,HR,Fossil Hard coal,217.0,0.5126578230731144,111.0
HR,HR,Gas,743.0,0.3335673285520259,248.0
HR,HR,Geothermal,10.0,0.791381,8.0
HR,HR,Hydro Run-of-river and poundage,427.0,0.4431073005130208,189.0
HR,HR,Hydro Water Reservoir,1445.0,0.28981617506773,419.0
HR,HR,Oil,344.0,0.0056865640365881,2.0
HR,HR,Other renewable,54.0,0.8783221507781195,47.0
HR,HR,Solar,138.0,0.119573,17.0
HR,HR,Waste,6.0,0.0616248097412481,0.0
HR,HR,Wind Onshore,987.0,0.247207,244.0
HU,HU,Biomass,213.0,0.4537674713927265,97.0
HU,HU,Fossil Brown coal/Lignite,1007.0,0.439501580587728,443.0
HU,HU,Fossil Hard coal,42.0,0.2,8.0
HU,HU,Gas,4011.0,0.2138713194146122,858.0
HU,HU,Geothermal,3.0,0.449011,1.0
HU,HU,Hydro Run-of-river and poundage,30.0,0.3624130841553281,11.0
HU,HU,Hydro Water Reservoir,28.0,0.4271295467517642,12.0
HU,HU,Nuclear,1910.0,0.923337234475885,1764.0
HU,HU,Oil,420.0,0.0015130871054505,1.0
HU,HU,Other renewable,69.0,0.163301848578583,11.0
HU,HU,Solar,2968.0,0.131631,391.0
HU,HU,Waste,49.0,0.2549499284033014,12.0
HU,HU,Wind Onshore,324.0,0.239319,78.0
IE,IE,Fossil Hard coal,855.0,0.1055332585649817,90.0
IE,IE,Fossil Peat,344.0,0.7020846954885419,242.0
IE,IE,Gas,4265.0,0.2795778530783108,1192.0
IE,IE,Geothermal,17.0,0.2,3.0
IE,IE,Hydro Run-of-river and poundage,216.0,0.4404083164214443,95.0
IE,IE,Oil,1272.0,0.1923456750236926,245.0
IE,IE,Other,647.0,0.0019690457538481,1.0
IE,IE,Solar,112.0,0.086311,10.0
IE,IE,Wind Offshore,25.0,0.366928,9.0
IE,IE,Wind Onshore,4314.0,0.277898,1199.0
IT-CN,IT,Biomass,184.0,0.3797561471637838,70.0
IT-CN,IT,Gas,2523.0,0.3244022525681255,818.0
IT-CN,IT,Geothermal,766.0,0.900183,690.0
IT-CN,IT,Hydro Run-of-river and poundage,301.0,0.3693667224044418,111.0
IT-CN,IT,Hydro Water Reservoir,131.0,0.2395050865235834,31.0
IT-CN,IT,Oil,16.0,0.0757079524202812,1.0
IT-CN,IT,Other,48.0,0.4379152958821172,21.0
IT-CN,IT,Solar,2058.0,0.132913,274.0
IT-CN,IT,Wind Onshore,163.0,0.206263,34.0
IT-CS,IT,Biomass,271.0,0.3797561471637838,103.0
IT-CS,IT,Fossil Hard coal,1845.0,0.4909547612458571,906.0
IT-CS,IT,Gas,6379.0,0.3244022525681255,2069.0
IT-CS,IT,Hydro Run-of-river and poundage,1302.0,0.3693667224044418,481.0
IT-CS,IT,Hydro Water Reservoir,89.0,0.2395050865235834,21.0
IT-CS,IT,Oil,96.0,0.0757079524202812,7.0
IT-CS,IT,Other,213.0,0.4379152958821172,93.0
IT-CS,IT,Solar,2964.0,0.132913,394.0
IT-CS,IT,Wind Onshore,720.0,0.206263,149.0
IT-N,IT,Biomass,2402.0,0.3797561471637838,912.0
IT-N,IT,Fossil Hard coal,1450.0,0.4909547612458571,712.0
IT-N,IT,Gas,27135.0,0.3244022525681255,8803.0
IT-N,IT,Hydro Run-of-river and poundage,6852.0,0.3693667224044418,2531.0
IT-N,IT,Hydro Water Reservoir,2119.0,0.2395050865235834,508.0
IT-N,IT,Oil,40.0,0.0757079524202812,3.0
IT-N,IT,Other,349.0,0.4379152958821172,153.0
IT-N,IT,Solar,10170.0,0.132913,1352.0
IT-N,IT,Waste,50.0,0.2918941123564411,15.0
IT-N,IT,Wind Onshore,163.0,0.206263,34.0
IT-S,IT,Biomass,803.0,0.3797561471637838,305.0
IT-S,IT,Fossil Hard coal,1815.0,0.4909547612458571,891.0
IT-S,IT,Gas,10162.0,0.3244022525681255,3297.0
IT-S,IT,Hydro Run-of-river and poundage,777.0,0.3693667224044418,287.0
IT-S,IT,Hydro Water Reservoir,141.0,0.2395050865235834,34.0
IT-S,IT,Oil,66.0,0.0757079524202812,5.0
