bidding_zone,Tech,Gen_MWh,Cap_MW,CapacityFactor,GhostGen
FR,Hydro Water Reservoir,13794187.0,8279.0,0.19020158005538576,False
FR,Nuclear,377995474.0,63130.0,0.6835128823830221,False
FR,Oil,1636137.0,3271.0,0.05709985635493314,False
FR,Other,0.0,108.0,0.0,False
FR,Other renewable,0.0,,,False
FR,Waste,1746489.0,,0.2,True
GR,Biomass,0.0,51.0,0.0,False
GR,Fossil Brown coal/Lignite,10679317.0,3912.0,0.31163090852639347,False
GR,Fossil Hard coal,0.0,,,False
GR,Fossil Peat,0.0,,,False
GR,Gas,17304453.0,4902.0,0.402977188511259,False
GR,Hydro Run-of-river and poundage,0.0,299.0,0.0,False
GR,Hydro Water Reservoir,2926012.0,2403.0,0.13900109642247038,False
GR,Nuclear,0.0,,,False
GR,Oil,0.0,0.0,,False
GR,Other,0.0,,,False
GR,Other renewable,0.0,69.0,0.0,False
GR,Waste,0.0,,,False
HR,Biomass,421329.0,71.0,0.6774213775805518,False
HR,Fossil Brown coal/Lignite,0.0,,,False
HR,Fossil Hard coal,1490973.0,332.0,0.5126578230731144,False
HR,Fossil Peat,0.0,,,False
HR,Gas,2171083.0,743.0,0.3335673285520259,False
HR,Hydro Run-of-river and poundage,1634162.0,421.0,0.4431073005130208,False
HR,Hydro Water Reservoir,3645702.0,1436.0,0.28981617506773,False
HR,Nuclear,0.0,,,False
HR,Oil,46676.0,937.0,0.0056865640365881594,False
HR,Other,0.0,,,False
HR,Other renewable,377011.0,49.0,0.8783221507781195,False
HR,Waste,3239.0,6.0,0.0616248097412481,False
HU,Biomass,977652.0,245.95,0.45376747139272655,False
HU,Fossil Brown coal/Lignite,4038185.0,1048.87,0.439501580587728,False
HU,Fossil Hard coal,0.0,,,False
HU,Fossil Peat,0.0,,,False
HU,Gas,7547315.0,4028.43,0.21387131941461227,False
HU,Hydro Run-of-river and poundage,94131.0,29.65,0.36241308415532814,False
HU,Hydro Water Reservoir,105365.0,28.16,0.42712954675176423,False
HU,Nuclear,15358885.0,1898.87,0.923337234475885,False
HU,Oil,5581.0,421.06,0.0015130871054505404,False
HU,Other,708286.0,,0.2,True
HU,Other renewable,106431.0,74.4,0.16330184857858301,False
HU,Waste,132751.0,59.44,0.25494992840330144,False
IE,Biomass,0.0,,,False
IE,Fossil Brown coal/Lignite,0.0,,,False
IE,Fossil Hard coal,790423.0,855.0,0.1055332585649817,False
IE,Fossil Peat,2113230.0,343.6,0.7020846954885419,False
IE,Gas,10445420.0,4265.0,0.2795778530783108,False
IE,Hydro Run-of-river and poundage,833323.0,216.0,0.4404083164214443,False
IE,Hydro Water Reservoir,0.0,,,False
IE,Nuclear,0.0,,,False
IE,Oil,2143254.0,1272.0,0.1923456750236926,False
IE,Other,11160.0,647.0,0.001969045753848108,False
IE,Other renewable,0.0,,,False
IE,Waste,0.0,,,False
IT,Biomass,5116409.0,1538.0,0.37975614716378386,False
IT,Fossil Brown coal/Lignite,0.0,0.0,,False
IT,Fossil Hard coal,20863004.75,4851.0,0.49095476124585713,False
IT,Fossil Peat,0.0,0.0,,False
IT,Gas,136785455.5,48134.0,0.32440225256812555,False
IT,Hydro Run-of-river and poundage,34459699.0,10650.0,0.36936672240444185,False
