Country,Tech,CapacityFactor,Source
HU,Fossil Brown coal/Lignite,0.439501580587728,ENTSOE
HU,Gas,0.2138713194146122,ENTSOE
HU,Geothermal,0.449011,IRENA
HU,Hydro Run-of-river and poundage,0.3624130841553281,ENTSOE
HU,Hydro Water Reservoir,0.4271295467517642,ENTSOE
HU,Nuclear,0.923337234475885,ENTSOE
HU,Oil,0.0015130871054505,ENTSOE
HU,Other,0.2,ENTSOE
HU,Other renewable,0.163301848578583,ENTSOE
HU,Solar,0.131631,IRENA
HU,Waste,0.2549499284033014,ENTSOE
HU,Wind Onshore,0.239319,IRENA
IE,Fossil Hard coal,0.1055332585649817,ENTSOE
IE,Fossil Peat,0.7020846954885419,ENTSOE
IE,Gas,0.2795778530783108,ENTSOE
IE,Hydro Run-of-river and poundage,0.4404083164214443,ENTSOE
IE,Oil,0.1923456750236926,ENTSOE
IE,Other,0.0019690457538481,ENTSOE
IE,Solar,0.086311,IRENA
IE,Wind Offshore,0.366928,IRENA
IE,Wind Onshore,0.277898,IRENA
IT,Biomass,0.3797561471637838,ENTSOE
IT,Fossil Hard coal,0.4909547612458571,ENTSOE
IT,Gas,0.3244022525681255,ENTSOE
IT,Geothermal,0.900183,IRENA
IT,Hydro Run-of-river and poundage,0.3693667224044418,ENTSOE
IT,Hydro Water Reservoir,0.2395050865235834,ENTSOE
IT,Oil,0.0757079524202812,ENTSOE
IT,Other,0.4379152958821172,ENTSOE
IT,Solar,0.132913,IRENA
IT,Waste,0.2918941123564411,ENTSOE
IT,Wind Onshore,0.206263,IRENA
LT,Biomass,0.4859303652968036,ENTSOE
LT,Gas,0.026811463590483,ENTSOE
LT,Hydro Run-of-river and poundage,0.3236863227739726,ENTSOE
LT,Other,0.1281710697977821,ENTSOE
LT,Solar,0.062621,IRENA
LT,Waste,0.7992498369210698,ENTSOE
LT,Wind Onshore,0.282555,IRENA
LV,Biomass,0.5386632963687759,ENTSOE
LV,Gas,0.3478096589740425,ENTSOE
LV,Hydro Run-of-river and poundage,0.151583561050436,ENTSOE
LV,Solar,0.103436,IRENA
LV,Wind Onshore,0.218567,IRENA
NL,Biomass,0.0052800922656875,ENTSOE
NL,Fossil Hard coal,0.6219367950648252,ENTSOE
NL,Gas,0.5228619370320514,ENTSOE
NL,Hydro Run-of-river and poundage,0.0,ENTSOE
NL,Nuclear,0.8693904203543981,ENTSOE
NL,Other,0.0,ENTSOE
NL,Solar,0.087505,IRENA
