MeasureItem	MeasureItemCategoryID	MeasureItemID	Category	Country	Year	Representativity	ProvidedValue	CreationDate	ProvidedValueCode
Net Generating Capacity	6	B06	Fossil Oil	CZ	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B10	Hydro Pumped Storage	CZ	2019	100	1172.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B11	Hydro Run-of-river and poundage	CZ	2019	100	334.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B12	Hydro Water Reservoir	CZ	2019	100	753.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B14	Nuclear	CZ	2019	100	4040.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B20	Other	CZ	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B15	Other renewable	CZ	2019	100	400.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B16	Solar	CZ	2019	100	2049.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B17	Waste	CZ	2019	100	100.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B19	Wind Onshore	CZ	2019	100	316.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B01	Biomass	DE	2019	100	7752.13	29-05-2024 00:00:00	
Net Generating Capacity	6	B02	Fossil Brown coal/Lignite	DE	2019	100	21205.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B03	Fossil Coal-derived gas	DE	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B04	Fossil Gas	DE	2019	100	31664.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B05	Fossil Hard coal	DE	2019	100	25293.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B06	Fossil Oil	DE	2019	100	4356.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B09	Geothermal	DE	2019	100	41.75	29-05-2024 00:00:00	
Net Generating Capacity	6	B10	Hydro Pumped Storage	DE	2019	100	9422.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B11	Hydro Run-of-river and poundage	DE	2019	100	3982.92	29-05-2024 00:00:00	
Net Generating Capacity	6	B12	Hydro Water Reservoir	DE	2019	100	1298.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B14	Nuclear	DE	2019	100	9516.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B20	Other	DE	2019	100	1235.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B15	Other renewable	DE	2019	100	444.59	29-05-2024 00:00:00	
Net Generating Capacity	6	B16	Solar	DE	2019	100	45298.98	29-05-2024 00:00:00	
Net Generating Capacity	6	B17	Waste	DE	2019	100	1686.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B18	Wind Offshore	DE	2019	100	6393.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B19	Wind Onshore	DE	2019	100	52791.63	29-05-2024 00:00:00	
Net Generating Capacity	6	B01	Biomass	DK	2019	100	1722.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B04	Fossil Gas	DK	2019	100	1814.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B05	Fossil Hard coal	DK	2019	100	3656.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B06	Fossil Oil	DK	2019	100	1007.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B11	Hydro Run-of-river and poundage	DK	2019	100	7.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B15	Other renewable	DK	2019	100	135.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B16	Solar	DK	2019	100	1014.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B17	Waste	DK	2019	100	384.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B18	Wind Offshore	DK	2019	100	1700.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B19	Wind Onshore	DK	2019	100	4426.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B01	Biomass	EE	2019	100	157.20	29-05-2024 00:00:00	
Net Generating Capacity	6	B02	Fossil Brown coal/Lignite	EE	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B03	Fossil Coal-derived gas	EE	2019	100	51.30	29-05-2024 00:00:00	
Net Generating Capacity	6	B04	Fossil Gas	EE	2019	100	125.26	29-05-2024 00:00:00	
Net Generating Capacity	6	B05	Fossil Hard coal	EE	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B06	Fossil Oil	EE	2019	100	7.87	29-05-2024 00:00:00	
Net Generating Capacity	6	B07	Fossil Oil shale	EE	2019	100	1970.30	29-05-2024 00:00:00	
Net Generating Capacity	6	B08	Fossil Peat	EE	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B09	Geothermal	EE	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B10	Hydro Pumped Storage	EE	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B11	Hydro Run-of-river and poundage	EE	2019	100	7.13	29-05-2024 00:00:00	
Net Generating Capacity	6	B12	Hydro Water Reservoir	EE	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B13	Marine	EE	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B14	Nuclear	EE	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B20	Other	EE	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B15	Other renewable	EE	2019	100	11.83	29-05-2024 00:00:00	
Net Generating Capacity	6	B16	Solar	EE	2019	100	33.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B17	Waste	EE	2019	100	18.54	29-05-2024 00:00:00	
Net Generating Capacity	6	B18	Wind Offshore	EE	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B19	Wind Onshore	EE	2019	100	462.40	29-05-2024 00:00:00	
Net Generating Capacity	6	B01	Biomass	ES	2019	100	507.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B02	Fossil Brown coal/Lignite	ES	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B03	Fossil Coal-derived gas	ES	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B04	Fossil Gas	ES	2019	100	30266.30	29-05-2024 00:00:00	
Net Generating Capacity	6	B05	Fossil Hard coal	ES	2019	100	9560.70	29-05-2024 00:00:00	
Net Generating Capacity	6	B06	Fossil Oil	ES	2019	100	713.80	29-05-2024 00:00:00	
Net Generating Capacity	6	B07	Fossil Oil shale	ES	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B08	Fossil Peat	ES	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B09	Geothermal	ES	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B10	Hydro Pumped Storage	ES	2019	100	5645.40	29-05-2024 00:00:00	
Net Generating Capacity	6	B11	Hydro Run-of-river and poundage	ES	2019	100	1156.20	29-05-2024 00:00:00	
Net Generating Capacity	6	B12	Hydro Water Reservoir	ES	2019	100	19145.80	29-05-2024 00:00:00	
Net Generating Capacity	6	B13	Marine	ES	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B14	Nuclear	ES	2019	100	7117.20	29-05-2024 00:00:00	
Net Generating Capacity	6	B20	Other	ES	2019	100	117.40	29-05-2024 00:00:00	
Net Generating Capacity	6	B15	Other renewable	ES	2019	100	260.90	29-05-2024 00:00:00	
Net Generating Capacity	6	B16	Solar	ES	2019	100	6751.10	29-05-2024 00:00:00	
Net Generating Capacity	6	B17	Waste	ES	2019	100	537.60	29-05-2024 00:00:00	
Net Generating Capacity	6	B18	Wind Offshore	ES	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B19	Wind Onshore	ES	2019	100	22960.60	29-05-2024 00:00:00	
Net Generating Capacity	6	B01	Biomass	FI	2019	100	1804.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B04	Fossil Gas	FI	2019	100	1912.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B05	Fossil Hard coal	FI	2019	100	2278.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B06	Fossil Oil	FI	2019	100	1434.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B08	Fossil Peat	FI	2019	100	1135.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B11	Hydro Run-of-river and poundage	FI	2019	100	3148.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B14	Nuclear	FI	2019	100	2785.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B20	Other	FI	2019	100	334.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B15	Other renewable	FI	2019	100	257.00	29-05-2024 00:00:00	
