MeasureItem	MeasureItemCategoryID	MeasureItemID	Category	Country	Year	Representativity	ProvidedValue	CreationDate	ProvidedValueCode
Net Generating Capacity	6	B14	Nuclear	LU	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B20	Other	LU	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B15	Other renewable	LU	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B16	Solar	LU	2019	100	136.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B17	Waste	LU	2019	100	21.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B18	Wind Offshore	LU	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B19	Wind Onshore	LU	2019	100	154.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B01	Biomass	LV	2019	100	126.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B04	Fossil Gas	LV	2019	100	1110.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B11	Hydro Run-of-river and poundage	LV	2019	100	1539.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B16	Solar	LV	2019	100	7.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B19	Wind Onshore	LV	2019	100	59.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B02	Fossil Brown coal/Lignite	ME	2019	100	210.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B11	Hydro Run-of-river and poundage	ME	2019	100	307.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B12	Hydro Water Reservoir	ME	2019	100	342.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B19	Wind Onshore	ME	2019	100	118.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B02	Fossil Brown coal/Lignite	MK	2019	100	824.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B04	Fossil Gas	MK	2019	100	251.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B06	Fossil Oil	MK	2019	100	165.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B12	Hydro Water Reservoir	MK	2019	100	506.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B19	Wind Onshore	MK	2019	100	35.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B01	Biomass	NL	2019	100	485.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B02	Fossil Brown coal/Lignite	NL	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B03	Fossil Coal-derived gas	NL	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B04	Fossil Gas	NL	2019	100	15570.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B05	Fossil Hard coal	NL	2019	100	4631.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B06	Fossil Oil	NL	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B07	Fossil Oil shale	NL	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B08	Fossil Peat	NL	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B09	Geothermal	NL	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B10	Hydro Pumped Storage	NL	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B11	Hydro Run-of-river and poundage	NL	2019	100	38.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B12	Hydro Water Reservoir	NL	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B13	Marine	NL	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B14	Nuclear	NL	2019	100	486.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B20	Other	NL	2019	100	1.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B15	Other renewable	NL	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B16	Solar	NL	2019	100	4608.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B17	Waste	NL	2019	100	758.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B18	Wind Offshore	NL	2019	100	957.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B19	Wind Onshore	NL	2019	100	3436.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B04	Fossil Gas	NO	2019	100	634.60	29-05-2024 00:00:00	
Net Generating Capacity	6	B10	Hydro Pumped Storage	NO	2019	100	1031.30	29-05-2024 00:00:00	
Net Generating Capacity	6	B11	Hydro Run-of-river and poundage	NO	2019	100	5937.13	29-05-2024 00:00:00	
Net Generating Capacity	6	B12	Hydro Water Reservoir	NO	2019	100	26472.27	29-05-2024 00:00:00	
Net Generating Capacity	6	B20	Other	NO	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B19	Wind Onshore	NO	2019	100	2261.80	29-05-2024 00:00:00	
Net Generating Capacity	6	B01	Biomass	PL	2019	100	849.38	29-05-2024 00:00:00	
Net Generating Capacity	6	B02	Fossil Brown coal/Lignite	PL	2019	100	8013.46	29-05-2024 00:00:00	
Net Generating Capacity	6	B03	Fossil Coal-derived gas	PL	2019	100	271.60	29-05-2024 00:00:00	
Net Generating Capacity	6	B04	Fossil Gas	PL	2019	100	2106.33	29-05-2024 00:00:00	
Net Generating Capacity	6	B05	Fossil Hard coal	PL	2019	100	22261.06	29-05-2024 00:00:00	
Net Generating Capacity	6	B06	Fossil Oil	PL	2019	100	415.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B10	Hydro Pumped Storage	PL	2019	100	1780.02	29-05-2024 00:00:00	
Net Generating Capacity	6	B11	Hydro Run-of-river and poundage	PL	2019	100	435.43	29-05-2024 00:00:00	
Net Generating Capacity	6	B12	Hydro Water Reservoir	PL	2019	100	156.51	29-05-2024 00:00:00	
Net Generating Capacity	6	B16	Solar	PL	2019	100	430.13	29-05-2024 00:00:00	
Net Generating Capacity	6	B19	Wind Onshore	PL	2019	100	5807.67	29-05-2024 00:00:00	
Net Generating Capacity	6	B01	Biomass	PT	2019	100	604.80	29-05-2024 00:00:00	
Net Generating Capacity	6	B02	Fossil Brown coal/Lignite	PT	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B03	Fossil Coal-derived gas	PT	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B04	Fossil Gas	PT	2019	100	4606.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B05	Fossil Hard coal	PT	2019	100	1756.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B06	Fossil Oil	PT	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B07	Fossil Oil shale	PT	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B08	Fossil Peat	PT	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B09	Geothermal	PT	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B10	Hydro Pumped Storage	PT	2019	100	2820.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B11	Hydro Run-of-river and poundage	PT	2019	100	2857.60	29-05-2024 00:00:00	
Net Generating Capacity	6	B12	Hydro Water Reservoir	PT	2019	100	1515.30	29-05-2024 00:00:00	
Net Generating Capacity	6	B13	Marine	PT	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B14	Nuclear	PT	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B20	Other	PT	2019	100	36.20	29-05-2024 00:00:00	
Net Generating Capacity	6	B15	Other renewable	PT	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B16	Solar	PT	2019	100	323.50	29-05-2024 00:00:00	
Net Generating Capacity	6	B17	Waste	PT	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B18	Wind Offshore	PT	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B19	Wind Onshore	PT	2019	100	5126.60	29-05-2024 00:00:00	
Net Generating Capacity	6	B01	Biomass	RO	2019	100	115.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B02	Fossil Brown coal/Lignite	RO	2019	100	3096.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B04	Fossil Gas	RO	2019	100	3033.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B05	Fossil Hard coal	RO	2019	100	1032.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B11	Hydro Run-of-river and poundage	RO	2019	100	2770.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B12	Hydro Water Reservoir	RO	2019	100	3373.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B14	Nuclear	RO	2019	100	1300.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B16	Solar	RO	2019	100	1150.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B19	Wind Onshore	RO	2019	100	2968.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B01	Biomass	RS	2019	100	8.31	29-05-2024 00:00:00	
Net Generating Capacity	6	B02	Fossil Brown coal/Lignite	RS	2019	100	5600.50	29-05-2024 00:00:00	
Net Generating Capacity	6	B04	Fossil Gas	RS	2019	100	286.41	29-05-2024 00:00:00	
Net Generating Capacity	6	B10	Hydro Pumped Storage	RS	2019	100	639.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B11	Hydro Run-of-river and poundage	RS	2019	100	1981.98	29-05-2024 00:00:00	
Net Generating Capacity	6	B12	Hydro Water Reservoir	RS	2019	100	344.70	29-05-2024 00:00:00	
Net Generating Capacity	6	B20	Other	RS	2019	100	22.63	29-05-2024 00:00:00	
Net Generating Capacity	6	B19	Wind Onshore	RS	2019	100	398.32	29-05-2024 00:00:00	
Net Generating Capacity	6	B12	Hydro Water Reservoir	SE	2019	100	16301.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B14	Nuclear	SE	2019	100	8586.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B20	Other	SE	2019	100	8439.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B19	Wind Onshore	SE	2019	100	7506.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B01	Biomass	SI	2019	100	17.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B02	Fossil Brown coal/Lignite	SI	2019	100	924.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B03	Fossil Coal-derived gas	SI	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B04	Fossil Gas	SI	2019	100	491.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B05	Fossil Hard coal	SI	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B06	Fossil Oil	SI	2019	100	58.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B07	Fossil Oil shale	SI	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B08	Fossil Peat	SI	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B09	Geothermal	SI	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B10	Hydro Pumped Storage	SI	2019	100	180.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B11	Hydro Run-of-river and poundage	SI	2019	100	1053.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B12	Hydro Water Reservoir	SI	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B13	Marine	SI	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B14	Nuclear	SI	2019	100	696.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B20	Other	SI	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B15	Other renewable	SI	2019	100	1.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B16	Solar	SI	2019	100	275.34	29-05-2024 00:00:00	
Net Generating Capacity	6	B17	Waste	SI	2019	100	40.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B18	Wind Offshore	SI	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B19	Wind Onshore	SI	2019	100	3.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B01	Biomass	SK	2019	100	214.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B02	Fossil Brown coal/Lignite	SK	2019	100	320.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B04	Fossil Gas	SK	2019	100	1153.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B05	Fossil Hard coal	SK	2019	100	221.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B06	Fossil Oil	SK	2019	100	257.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B10	Hydro Pumped Storage	SK	2019	100	916.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B11	Hydro Run-of-river and poundage	SK	2019	100	1208.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B12	Hydro Water Reservoir	SK	2019	100	418.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B14	Nuclear	SK	2019	100	1940.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B20	Other	SK	2019	100	418.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B15	Other renewable	SK	2019	100	116.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B16	Solar	SK	2019	100	531.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B19	Wind Onshore	SK	2019	100	3.00	29-05-2024 00:00:00	
