"Country/area","Technology","Data Type","Grid connection","Year",Electricity statistics
"Romania","Offshore wind energy","Electricity Generation (GWh)","On-grid","2021",-
"Romania","Geothermal energy","Electricity Installed Capacity (MW)","On-grid","2017",0.05
"Romania","Geothermal energy","Electricity Installed Capacity (MW)","On-grid","2018",0.05
"Romania","Geothermal energy","Electricity Installed Capacity (MW)","On-grid","2019",0.05
"Romania","Geothermal energy","Electricity Installed Capacity (MW)","On-grid","2020",0.05
"Romania","Geothermal energy","Electricity Installed Capacity (MW)","On-grid","2021",0.05
"Romania","Geothermal energy","Electricity Generation (GWh)","On-grid","2017",-
"Romania","Geothermal energy","Electricity Generation (GWh)","On-grid","2018",-
"Romania","Geothermal energy","Electricity Generation (GWh)","On-grid","2019",-
"Romania","Geothermal energy","Electricity Generation (GWh)","On-grid","2020",-
"Romania","Geothermal energy","Electricity Generation (GWh)","On-grid","2021",-
"Serbia","Solar photovoltaic","Electricity Installed Capacity (MW)","On-grid","2017",10.00
"Serbia","Solar photovoltaic","Electricity Installed Capacity (MW)","On-grid","2018",11.00
"Serbia","Solar photovoltaic","Electricity Installed Capacity (MW)","On-grid","2019",11.00
"Serbia","Solar photovoltaic","Electricity Installed Capacity (MW)","On-grid","2020",11.50
"Serbia","Solar photovoltaic","Electricity Installed Capacity (MW)","On-grid","2021",12.13
"Serbia","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2017",13.14
"Serbia","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2018",13.04
"Serbia","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2019",13.55
"Serbia","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2020",13.26
"Serbia","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2021",13.52
"Serbia","Onshore wind energy","Electricity Installed Capacity (MW)","On-grid","2017",25.00
"Serbia","Onshore wind energy","Electricity Installed Capacity (MW)","On-grid","2018",227.00
"Serbia","Onshore wind energy","Electricity Installed Capacity (MW)","On-grid","2019",398.00
"Serbia","Onshore wind energy","Electricity Installed Capacity (MW)","On-grid","2020",398.00
"Serbia","Onshore wind energy","Electricity Installed Capacity (MW)","On-grid","2021",398.00
"Serbia","Onshore wind energy","Electricity Generation (GWh)","On-grid","2017",48.46
"Serbia","Onshore wind energy","Electricity Generation (GWh)","On-grid","2018",150.42
"Serbia","Onshore wind energy","Electricity Generation (GWh)","On-grid","2019",898.21
"Serbia","Onshore wind energy","Electricity Generation (GWh)","On-grid","2020",975.63
"Serbia","Onshore wind energy","Electricity Generation (GWh)","On-grid","2021",1084.54
"Serbia","Offshore wind energy","Electricity Installed Capacity (MW)","On-grid","2017",-
"Serbia","Offshore wind energy","Electricity Installed Capacity (MW)","On-grid","2018",-
"Serbia","Offshore wind energy","Electricity Installed Capacity (MW)","On-grid","2019",-
"Serbia","Offshore wind energy","Electricity Installed Capacity (MW)","On-grid","2020",-
"Serbia","Offshore wind energy","Electricity Installed Capacity (MW)","On-grid","2021",-
"Serbia","Offshore wind energy","Electricity Generation (GWh)","On-grid","2017",-
"Serbia","Offshore wind energy","Electricity Generation (GWh)","On-grid","2018",-
"Serbia","Offshore wind energy","Electricity Generation (GWh)","On-grid","2019",-
"Serbia","Offshore wind energy","Electricity Generation (GWh)","On-grid","2020",-
"Serbia","Offshore wind energy","Electricity Generation (GWh)","On-grid","2021",-
"Serbia","Geothermal energy","Electricity Installed Capacity (MW)","On-grid","2017",-
"Serbia","Geothermal energy","Electricity Installed Capacity (MW)","On-grid","2018",-
"Serbia","Geothermal energy","Electricity Installed Capacity (MW)","On-grid","2019",-
"Serbia","Geothermal energy","Electricity Installed Capacity (MW)","On-grid","2020",-
"Serbia","Geothermal energy","Electricity Installed Capacity (MW)","On-grid","2021",-
"Serbia","Geothermal energy","Electricity Generation (GWh)","On-grid","2017",-
"Serbia","Geothermal energy","Electricity Generation (GWh)","On-grid","2018",-
"Serbia","Geothermal energy","Electricity Generation (GWh)","On-grid","2019",-
"Serbia","Geothermal energy","Electricity Generation (GWh)","On-grid","2020",-
"Serbia","Geothermal energy","Electricity Generation (GWh)","On-grid","2021",-
"Slovakia","Solar photovoltaic","Electricity Installed Capacity (MW)","On-grid","2017",528.00
"Slovakia","Solar photovoltaic","Electricity Installed Capacity (MW)","On-grid","2018",471.00
"Slovakia","Solar photovoltaic","Electricity Installed Capacity (MW)","On-grid","2019",590.00
"Slovakia","Solar photovoltaic","Electricity Installed Capacity (MW)","On-grid","2020",535.00
"Slovakia","Solar photovoltaic","Electricity Installed Capacity (MW)","On-grid","2021",537.00
"Slovakia","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2017",506.00
"Slovakia","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2018",585.00
"Slovakia","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2019",589.00
"Slovakia","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2020",663.00
"Slovakia","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2021",671.00
"Slovakia","Onshore wind energy","Electricity Installed Capacity (MW)","On-grid","2017",4.00
"Slovakia","Onshore wind energy","Electricity Installed Capacity (MW)","On-grid","2018",3.00
"Slovakia","Onshore wind energy","Electricity Installed Capacity (MW)","On-grid","2019",4.00
"Slovakia","Onshore wind energy","Electricity Installed Capacity (MW)","On-grid","2020",4.00
"Slovakia","Onshore wind energy","Electricity Installed Capacity (MW)","On-grid","2021",4.00
"Slovakia","Onshore wind energy","Electricity Generation (GWh)","On-grid","2017",6.00
"Slovakia","Onshore wind energy","Electricity Generation (GWh)","On-grid","2018",6.00
"Slovakia","Onshore wind energy","Electricity Generation (GWh)","On-grid","2019",6.00
"Slovakia","Onshore wind energy","Electricity Generation (GWh)","On-grid","2020",4.00
"Slovakia","Onshore wind energy","Electricity Generation (GWh)","On-grid","2021",5.00
"Slovakia","Offshore wind energy","Electricity Installed Capacity (MW)","On-grid","2017",-
"Slovakia","Offshore wind energy","Electricity Installed Capacity (MW)","On-grid","2018",-
"Slovakia","Offshore wind energy","Electricity Installed Capacity (MW)","On-grid","2019",-
"Slovakia","Offshore wind energy","Electricity Installed Capacity (MW)","On-grid","2020",-
"Slovakia","Offshore wind energy","Electricity Installed Capacity (MW)","On-grid","2021",-
"Slovakia","Offshore wind energy","Electricity Generation (GWh)","On-grid","2017",-
"Slovakia","Offshore wind energy","Electricity Generation (GWh)","On-grid","2018",-
"Slovakia","Offshore wind energy","Electricity Generation (GWh)","On-grid","2019",-
"Slovakia","Offshore wind energy","Electricity Generation (GWh)","On-grid","2020",-
"Slovakia","Offshore wind energy","Electricity Generation (GWh)","On-grid","2021",-
"Slovakia","Geothermal energy","Electricity Installed Capacity (MW)","On-grid","2017",-
"Slovakia","Geothermal energy","Electricity Installed Capacity (MW)","On-grid","2018",-
"Slovakia","Geothermal energy","Electricity Installed Capacity (MW)","On-grid","2019",-
"Slovakia","Geothermal energy","Electricity Installed Capacity (MW)","On-grid","2020",-
"Slovakia","Geothermal energy","Electricity Installed Capacity (MW)","On-grid","2021",-
"Slovakia","Geothermal energy","Electricity Generation (GWh)","On-grid","2017",-
"Slovakia","Geothermal energy","Electricity Generation (GWh)","On-grid","2018",-
"Slovakia","Geothermal energy","Electricity Generation (GWh)","On-grid","2019",-
"Slovakia","Geothermal energy","Electricity Generation (GWh)","On-grid","2020",-
"Slovakia","Geothermal energy","Electricity Generation (GWh)","On-grid","2021",-
"Slovenia","Solar photovoltaic","Electricity Installed Capacity (MW)","On-grid","2017",246.80
"Slovenia","Solar photovoltaic","Electricity Installed Capacity (MW)","On-grid","2018",246.80
"Slovenia","Solar photovoltaic","Electricity Installed Capacity (MW)","On-grid","2019",277.88
"Slovenia","Solar photovoltaic","Electricity Installed Capacity (MW)","On-grid","2020",369.78
"Slovenia","Solar photovoltaic","Electricity Installed Capacity (MW)","On-grid","2021",461.16
"Slovenia","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2017",283.87
"Slovenia","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2018",254.96
"Slovenia","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2019",303.04
"Slovenia","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2020",368.20
"Slovenia","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2021",453.11
"Slovenia","Onshore wind energy","Electricity Installed Capacity (MW)","On-grid","2017",3.30
"Slovenia","Onshore wind energy","Electricity Installed Capacity (MW)","On-grid","2018",3.30
"Slovenia","Onshore wind energy","Electricity Installed Capacity (MW)","On-grid","2019",3.30
"Slovenia","Onshore wind energy","Electricity Installed Capacity (MW)","On-grid","2020",3.30
"Slovenia","Onshore wind energy","Electricity Installed Capacity (MW)","On-grid","2021",3.33
"Slovenia","Onshore wind energy","Electricity Generation (GWh)","On-grid","2017",5.72
"Slovenia","Onshore wind energy","Electricity Generation (GWh)","On-grid","2018",6.02
"Slovenia","Onshore wind energy","Electricity Generation (GWh)","On-grid","2019",6.15
"Slovenia","Onshore wind energy","Electricity Generation (GWh)","On-grid","2020",6.25
"Slovenia","Onshore wind energy","Electricity Generation (GWh)","On-grid","2021",5.59
"Slovenia","Offshore wind energy","Electricity Installed Capacity (MW)","On-grid","2017",-
"Slovenia","Offshore wind energy","Electricity Installed Capacity (MW)","On-grid","2018",-
"Slovenia","Offshore wind energy","Electricity Installed Capacity (MW)","On-grid","2019",-
"Slovenia","Offshore wind energy","Electricity Installed Capacity (MW)","On-grid","2020",-
"Slovenia","Offshore wind energy","Electricity Installed Capacity (MW)","On-grid","2021",-
"Slovenia","Offshore wind energy","Electricity Generation (GWh)","On-grid","2017",-
"Slovenia","Offshore wind energy","Electricity Generation (GWh)","On-grid","2018",-
"Slovenia","Offshore wind energy","Electricity Generation (GWh)","On-grid","2019",-
"Slovenia","Offshore wind energy","Electricity Generation (GWh)","On-grid","2020",-
"Slovenia","Offshore wind energy","Electricity Generation (GWh)","On-grid","2021",-
"Slovenia","Geothermal energy","Electricity Installed Capacity (MW)","On-grid","2017",-
"Slovenia","Geothermal energy","Electricity Installed Capacity (MW)","On-grid","2018",-
"Slovenia","Geothermal energy","Electricity Installed Capacity (MW)","On-grid","2019",-
"Slovenia","Geothermal energy","Electricity Installed Capacity (MW)","On-grid","2020",-
"Slovenia","Geothermal energy","Electricity Installed Capacity (MW)","On-grid","2021",-
"Slovenia","Geothermal energy","Electricity Generation (GWh)","On-grid","2017",-
"Slovenia","Geothermal energy","Electricity Generation (GWh)","On-grid","2018",-
"Slovenia","Geothermal energy","Electricity Generation (GWh)","On-grid","2019",-
"Slovenia","Geothermal energy","Electricity Generation (GWh)","On-grid","2020",-
"Slovenia","Geothermal energy","Electricity Generation (GWh)","On-grid","2021",-
"Sweden","Solar photovoltaic","Electricity Installed Capacity (MW)","On-grid","2017",231.00
"Sweden","Solar photovoltaic","Electricity Installed Capacity (MW)","On-grid","2018",411.00
"Sweden","Solar photovoltaic","Electricity Installed Capacity (MW)","On-grid","2019",698.00
"Sweden","Solar photovoltaic","Electricity Installed Capacity (MW)","On-grid","2020",1090.00
"Sweden","Solar photovoltaic","Electricity Installed Capacity (MW)","On-grid","2021",1587.00
"Sweden","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2017",220.00
"Sweden","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2018",391.00
"Sweden","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2019",664.00
"Sweden","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2020",1035.00
"Sweden","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2021",1508.00
"Sweden","Onshore wind energy","Electricity Installed Capacity (MW)","On-grid","2017",6408.00
"Sweden","Onshore wind energy","Electricity Installed Capacity (MW)","On-grid","2018",7097.00
"Sweden","Onshore wind energy","Electricity Installed Capacity (MW)","On-grid","2019",8478.00
"Sweden","Onshore wind energy","Electricity Installed Capacity (MW)","On-grid","2020",9773.00
"Sweden","Onshore wind energy","Electricity Installed Capacity (MW)","On-grid","2021",11923.00
"Sweden","Onshore wind energy","Electricity Generation (GWh)","On-grid","2017",16939.00
"Sweden","Onshore wind energy","Electricity Generation (GWh)","On-grid","2018",16073.00
"Sweden","Onshore wind energy","Electricity Generation (GWh)","On-grid","2019",19241.00
"Sweden","Onshore wind energy","Electricity Generation (GWh)","On-grid","2020",26893.00
"Sweden","Onshore wind energy","Electricity Generation (GWh)","On-grid","2021",26697.00
"Sweden","Offshore wind energy","Electricity Installed Capacity (MW)","On-grid","2017",203.00
"Sweden","Offshore wind energy","Electricity Installed Capacity (MW)","On-grid","2018",203.00
"Sweden","Offshore wind energy","Electricity Installed Capacity (MW)","On-grid","2019",203.00
"Sweden","Offshore wind energy","Electricity Installed Capacity (MW)","On-grid","2020",203.00
"Sweden","Offshore wind energy","Electricity Installed Capacity (MW)","On-grid","2021",193.00
"Sweden","Offshore wind energy","Electricity Generation (GWh)","On-grid","2017",670.00
"Sweden","Offshore wind energy","Electricity Generation (GWh)","On-grid","2018",550.00
"Sweden","Offshore wind energy","Electricity Generation (GWh)","On-grid","2019",606.00
"Sweden","Offshore wind energy","Electricity Generation (GWh)","On-grid","2020",633.00
"Sweden","Offshore wind energy","Electricity Generation (GWh)","On-grid","2021",547.00
"Sweden","Geothermal energy","Electricity Installed Capacity (MW)","On-grid","2017",-
"Sweden","Geothermal energy","Electricity Installed Capacity (MW)","On-grid","2018",-
"Sweden","Geothermal energy","Electricity Installed Capacity (MW)","On-grid","2019",-
"Sweden","Geothermal energy","Electricity Installed Capacity (MW)","On-grid","2020",-
"Sweden","Geothermal energy","Electricity Installed Capacity (MW)","On-grid","2021",-
"Sweden","Geothermal energy","Electricity Generation (GWh)","On-grid","2017",-
"Sweden","Geothermal energy","Electricity Generation (GWh)","On-grid","2018",-
"Sweden","Geothermal energy","Electricity Generation (GWh)","On-grid","2019",-
"Sweden","Geothermal energy","Electricity Generation (GWh)","On-grid","2020",-
"Sweden","Geothermal energy","Electricity Generation (GWh)","On-grid","2021",-
"Switzerland","Solar photovoltaic","Electricity Installed Capacity (MW)","On-grid","2017",1860.00
"Switzerland","Solar photovoltaic","Electricity Installed Capacity (MW)","On-grid","2018",2117.00
"Switzerland","Solar photovoltaic","Electricity Installed Capacity (MW)","On-grid","2019",2425.00
"Switzerland","Solar photovoltaic","Electricity Installed Capacity (MW)","On-grid","2020",2875.26
"Switzerland","Solar photovoltaic","Electricity Installed Capacity (MW)","On-grid","2021",3515.43
"Switzerland","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2017",1683.21
"Switzerland","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2018",1945.10
"Switzerland","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2019",2177.67
"Switzerland","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2020",2598.66
"Switzerland","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2021",2842.00
"Switzerland","Onshore wind energy","Electricity Installed Capacity (MW)","On-grid","2017",75.00
"Switzerland","Onshore wind energy","Electricity Installed Capacity (MW)","On-grid","2018",75.00
"Switzerland","Onshore wind energy","Electricity Installed Capacity (MW)","On-grid","2019",75.00
"Switzerland","Onshore wind energy","Electricity Installed Capacity (MW)","On-grid","2020",87.12
"Switzerland","Onshore wind energy","Electricity Installed Capacity (MW)","On-grid","2021",88.32
"Switzerland","Onshore wind energy","Electricity Generation (GWh)","On-grid","2017",133.00
"Switzerland","Onshore wind energy","Electricity Generation (GWh)","On-grid","2018",122.00
"Switzerland","Onshore wind energy","Electricity Generation (GWh)","On-grid","2019",145.92
"Switzerland","Onshore wind energy","Electricity Generation (GWh)","On-grid","2020",145.45
"Switzerland","Onshore wind energy","Electricity Generation (GWh)","On-grid","2021",144.94
"Switzerland","Offshore wind energy","Electricity Installed Capacity (MW)","On-grid","2017",-
"Switzerland","Offshore wind energy","Electricity Installed Capacity (MW)","On-grid","2018",-
"Switzerland","Offshore wind energy","Electricity Installed Capacity (MW)","On-grid","2019",-
"Switzerland","Offshore wind energy","Electricity Installed Capacity (MW)","On-grid","2020",-
"Switzerland","Offshore wind energy","Electricity Installed Capacity (MW)","On-grid","2021",-
"Switzerland","Offshore wind energy","Electricity Generation (GWh)","On-grid","2017",-
"Switzerland","Offshore wind energy","Electricity Generation (GWh)","On-grid","2018",-
"Switzerland","Offshore wind energy","Electricity Generation (GWh)","On-grid","2019",-
"Switzerland","Offshore wind energy","Electricity Generation (GWh)","On-grid","2020",-
"Switzerland","Offshore wind energy","Electricity Generation (GWh)","On-grid","2021",-
"Switzerland","Geothermal energy","Electricity Installed Capacity (MW)","On-grid","2017",-
"Switzerland","Geothermal energy","Electricity Installed Capacity (MW)","On-grid","2018",-
"Switzerland","Geothermal energy","Electricity Installed Capacity (MW)","On-grid","2019",-
"Switzerland","Geothermal energy","Electricity Installed Capacity (MW)","On-grid","2020",-
"Switzerland","Geothermal energy","Electricity Installed Capacity (MW)","On-grid","2021",-
"Switzerland","Geothermal energy","Electricity Generation (GWh)","On-grid","2017",-
"Switzerland","Geothermal energy","Electricity Generation (GWh)","On-grid","2018",-
"Switzerland","Geothermal energy","Electricity Generation (GWh)","On-grid","2019",-
"Switzerland","Geothermal energy","Electricity Generation (GWh)","On-grid","2020",-
"Switzerland","Geothermal energy","Electricity Generation (GWh)","On-grid","2021",-
